		label_percentage	MRG	ARG	MRR	ARR	GRF	MRO	ARO
	0.01	0.77	0.72	0.77	0.55	0.72	0.78	0.62
graph-1	0.05	0.94	0.96	0.94	0.62	0.91	0.86	0.83
	0.1	0.94	0.96	0.92	0.57	0.92	0.81	0.72
	0.01	0.77	0.62	0.77	0.51	0.56	0.81	0.51
graph-30	0.05	0.78	0.71	0.78	0.50	0.67	0.81	0.50
	0.1	0.78	0.77	0.78	0.51	0.76	0.81	0.51
	0.01	0.63	0.92	0.64	0.50	0.92	0.61	0.50
graph-37	0.05	0.64	0.93	0.65	0.50	0.93	0.62	0.50
	0.1	0.64	0.94	0.66	0.50	0.94	0.62	0.50
	0.01	0.51	0.40	0.45	0.50	0.40	0.46	0.51
graph_imdb_10M	0.05	0.66	0.38	0.68	0.52	0.38	0.69	0.53
	0.1	0.66	0.36	0.68	0.49	0.36	0.70	0.50
	0.01	0.76	0.74	0.68	0.50	0.75	0.70	0.54
graph_paper	0.05	0.65	0.78	0.63	0.51	0.78	0.79	0.55
	0.1	0.65	0.75	0.58	0.50	0.75	0.68	0.53
	
