confidence	update_only-time (sec)	total-time (sec)	incremental-accuracy	global-accuracy	recompute-time-update	recompute-time-total	recompute-accuracy
0.1	128.263941	165.803	0.773609	0.77876	402.094195	441.21	0.777271
0.2	122.580097	156.579	0.771022	0.776066	402.094195	441.21	0.777271
0.3	126.617619	163.872	0.771022	0.775908	402.094195	441.21	0.777271
0.4	103.255327	125.085	0.758085	0.768587	402.094195	441.21	0.777271
0.5	84.700891	101.649	0.757439	0.769158	402.094195	441.21	0.777271
0.6	85.446691	100.914	0.760026	0.771947	402.094195	441.21	0.777271
0.7	30.491868	41.823	0.838292	0.782627	402.094195	441.21	0.777271
0.8	25.343227	36.883	0.838292	0.782627	402.094195	441.21	0.777271
0.9	27.326705	37.536	0.838292	0.782627	402.094195	441.21	0.777271

